varga,ведийский_count,эпический_count,классический_count,средневековый_count,поздний_count,ведийский_share_pct,эпический_share_pct,классический_share_pct,средневековый_share_pct,поздний_share_pct,total_count,total_share_pct
кантхья (гуттуральные),186928,351753,309376,276492,96478,8.85,11.66,13.67,14.85,14.06,1221027,12.28
талавья (палатальные),172766,284495,192325,160432,55879,8.18,9.43,8.50,8.62,8.14,865897,8.71
мурдханья (церебральные),94858,148038,120994,106580,40151,4.49,4.91,5.35,5.72,5.85,510621,5.14
дантья (дентальные),1087694,1427660,1059481,867744,324593,51.51,47.31,46.82,46.60,47.29,4767172,47.96
оштхья (лабиальные),569428,805880,580560,450749,169257,26.97,26.70,25.66,24.21,24.66,2575874,25.91
ИТОГО,2111674,3017826,2262736,1861997,686358,,,,,,9940591,100.00

chi2,54890.5
cramers_v,0.0372
