lesson	lemma_iast	topic	feature
XII	nadī	производный женский тип на -ī
XII	vadhū	производный женский тип на -ū
XII	senānī	мужская основа на -ī (контрпример HK-16)
XVI	jñā	ядро IX класса без носового
XVI	grah	ядро IX класса без носового
XVI	krī	ядро IX класса без носового
XVI	pū	ядро IX класса без носового
XVI	lū	ядро IX класса без носового
XVI	prī	ядро IX класса без носового
XVI	bandh	подкласс с выпадающим носовым
XVIII	kṛ	будущее время (HK-4a/4b)	tense=Fut
XVIII	bhū	будущее время (HK-4a/4b)	tense=Fut
XVIII	gam	будущее время (HK-4a/4b)	tense=Fut
XVIII	dṛś	исход корня перед -sya (HK-21)	tense=Fut
XVIII	dah	исход корня перед -sya (HK-21)	tense=Fut
XVIII	sṛj	исход корня перед -sya (HK-21)	tense=Fut
XVIII	ruh	исход корня перед -sya (HK-21)	tense=Fut
XXI	vid	уход в перифрастический перфект (HK-25)
XXI	ās	уход в перифрастический перфект (HK-25)
XXI	śru	корень aniṭ (HK-26)
XXII	as	вспомогательный перифрастического перфекта (91,4 %)
XXII	tāḍay	типичная основа на -ay при -ām (SG-MO-017)	formation=peri
XXX	manas	средний тип на -as (HK-32)
XXX	tejas	средний тип на -as (HK-32)
XXX	candramas	мужской контрпример на -as (HK-32)
XXXII	mahābāhu	род bahuvrīhi по носителю признака (HK-34)
XXXVII	sthā	корневой аорист не на -ā-списке (HK-38)	formation=root
XXXVII	dā	корневой аорист (HK-38)	formation=root
XXXVII	dhā	корневой аорист (HK-38)	formation=root
XXXVII	kram	корневой аорист (HK-38)	formation=root
XXXIX	samāgam	двухпревербный глагол sam-ā-gam (HK-40)
