lemma	nominal_tokens	matched_suffix	verdict(blank→adjudicate: taddhita|krt|primary|pronoun_name|compound)
nāyaka	242	aka	
mānin	286	in	
ātreya	340	eya	
vratin	135	in	
kārya	2881	ya	
sainya	1494	ya	
amātya	631	ya	
āhavanīya	966	īya	
gomaya	357	maya	
āmalaka	341	aka	
priya	4663	ya	
vaikārika	75	ika	
dvitīya	1874	īya	
sūrya	3572	ya	
vyāpin	141	in	
ādya	2205	ya	
tattva	2361	tva	
āpya	76	ya	
dūṣya	57	ya	
vīrya	3874	ya	
vajrin	247	in	
bhavat	3518	vat	
kāṅkṣin	182	in	
vyāpaka	150	aka	
guṇavat	284	vat	
bhaṅgurāvat	12	vat	
śītaka	19	aka	
caraka	64	aka	
pañcaka	272	aka	
tarasvin	158	in	
taṇḍulīyaka	49	aka	
tā	5919	tā	
pralaya	284	ya	
vādya	144	ya	
pakṣin	705	in	
śiṣya	1086	ya	
cintā	579	tā	
vīryavat	719	vat	
puṇya	3203	ya	
staimitya	30	ya	
haya	1187	ya	
abhraka	590	aka	
āditya	3085	ya	
recaka	39	aka	
vāmadevya	194	ya	
amedhya	185	ya	
śīlin	46	in	
ramaṇīya	161	īya	
indriya	3362	ya	
javin	10	in	
niścaya	679	ya	
saināpatya	11	ya	
akarmaka	17	aka	
prāṇin	613	in	
devatā	3468	tā	
hiraṇya	1425	ya	
martya	964	ya	
maya	3450	maya	
anuśāyin	5	in	
evaṃvīrya	6	ya	
